backend,N,i,correlation
ibm_fez,3,1,0.8876953125
ibm_fez,3,2,0.88916015625
ibm_fez,4,1,0.88623046875
ibm_fez,4,2,0.88818359375
ibm_fez,4,3,0.8447265625
ibm_fez,5,1,0.888671875
ibm_fez,5,2,0.890625
ibm_fez,5,3,0.85400390625
ibm_fez,5,4,0.8408203125
ibm_fez,6,1,0.9052734375
ibm_fez,6,2,0.90869140625
ibm_fez,6,3,0.861328125
ibm_fez,6,4,0.85791015625
ibm_fez,6,5,0.826171875
ibm_fez,7,1,0.88037109375
ibm_fez,7,2,0.89111328125
ibm_fez,7,3,0.84912109375
ibm_fez,7,4,0.83984375
ibm_fez,7,5,0.810546875
ibm_fez,7,6,0.8125
ibm_fez,8,1,0.87841796875
ibm_fez,8,2,0.88525390625
ibm_fez,8,3,0.83544921875
ibm_fez,8,4,0.82666015625
ibm_fez,8,5,0.76806640625
ibm_fez,8,6,0.79052734375
ibm_fez,8,7,0.73486328125
